year,sample,island,pool,pool_suitable
2011,2,FO,19A,n
2012,1,FO,19A,n
2012,2,FO,19A,n
2013,1,FO,19A,n
1982,2,SK,20A,n
1983,1,SK,20A,n
1983,2,SK,20A,n
1984,1,SK,20A,n
1984,2,SK,20A,n
1985,1,SK,20A,n
1985,2,SK,20A,n
1986,1,SK,20A,n
1986,2,SK,20A,n
1987,1,SK,20A,n
1987,2,SK,20A,n
1988,1,SK,20A,n
1988,2,SK,20A,n
1989,1,SK,20A,n
1989,2,SK,20A,n
1990,1,SK,20A,n
1990,2,SK,20A,n
1991,1,SK,20A,n
1991,2,SK,20A,n
1992,1,SK,20A,n
1992,2,SK,20A,n
1993,1,SK,20A,n
1993,2,SK,20A,n
1994,1,SK,20A,n
1994,2,SK,20A,n
1995,1,SK,20A,n
1995,2,SK,20A,n
1996,1,SK,20A,n
1996,2,SK,20A,n
1997,1,SK,20A,n
1997,2,SK,20A,n
1998,1,SK,20A,n
1998,2,SK,20A,n
1999,1,SK,20A,n
1999,2,SK,20A,n
2000,1,SK,20A,n
2000,2,SK,20A,n
2001,1,SK,20A,n
2001,2,SK,20A,n
2002,1,SK,20A,n
2002,2,SK,20A,n
2003,1,SK,20A,n
2003,2,SK,20A,n
2004,1,SK,20A,n
2004,2,SK,20A,n
2005,1,SK,20A,n
2005,2,SK,20A,n
2006,1,SK,20A,n
2006,2,SK,20A,n
2007,1,SK,20A,n
2007,2,SK,20A,n
2008,1,SK,20A,n
2008,2,SK,20A,n
2009,1,SK,20A,n
2009,2,SK,20A,n
1982,2,N,24A,n
1983,1,N,24A,n
1983,2,N,24A,n
1984,1,N,24A,n
1984,2,N,24A,n
1985,1,N,24A,n
1985,2,N,24A,n
1986,1,N,24A,n
1986,2,N,24A,n
1987,1,N,24A,n
1987,2,N,24A,n
1988,1,N,24A,n
1988,2,N,24A,n
1989,1,N,24A,n
1989,2,N,24A,n
1990,1,N,24A,n
1990,2,N,24A,n
1991,1,N,24A,n
1991,2,N,24A,n
1992,1,N,24A,n
1992,2,N,24A,n
1993,1,N,24A,n
1993,2,N,24A,n
1994,1,N,24A,n
1994,2,N,24A,n
1995,1,N,24A,n
1995,2,N,24A,n
1996,1,N,24A,n
1996,2,N,24A,n
1997,1,N,24A,n
1997,2,N,24A,n
1998,1,N,24A,n
1998,2,N,24A,n
1999,1,N,24A,n
1999,2,N,24A,n
2000,1,N,24A,n
2000,2,N,24A,n
2001,1,N,24A,n
2001,2,N,24A,n
2002,1,N,24A,n
2002,2,N,24A,n
2003,1,N,24A,n
2003,2,N,24A,n
2004,1,N,24A,n
2004,2,N,24A,n
2005,1,N,24A,n
2005,2,N,24A,n
2006,1,N,24A,n
2006,2,N,24A,n
2007,1,N,24A,n
2007,2,N,24A,n
2008,1,N,24A,n
2008,2,N,24A,n
2009,1,N,24A,n
2009,2,N,24A,n
2010,1,N,24A,n
2010,2,N,24A,n
1982,2,SK,26A,n
1983,1,SK,26A,n
1983,2,SK,26A,n
1984,1,SK,26A,n
1984,2,SK,26A,n
1985,1,SK,26A,n
1985,2,SK,26A,n
1986,1,SK,26A,n
1986,2,SK,26A,n
1987,1,SK,26A,n
1987,2,SK,26A,n
1988,1,SK,26A,n
1988,2,SK,26A,n
1989,1,SK,26A,n
1989,2,SK,26A,n
1990,1,SK,26A,n
1990,2,SK,26A,n
1991,1,SK,26A,n
1991,2,SK,26A,n
1992,1,SK,26A,n
1992,2,SK,26A,n
1993,1,SK,26A,n
1993,2,SK,26A,n
1994,1,SK,26A,n
1994,2,SK,26A,n
1995,1,SK,26A,n
1995,2,SK,26A,n
1996,1,SK,26A,n
1996,2,SK,26A,n
1997,1,SK,26A,n
1997,2,SK,26A,n
1998,1,SK,26A,n
1998,2,SK,26A,n
1999,1,SK,26A,n
1999,2,SK,26A,n
2000,1,SK,26A,n
2000,2,SK,26A,n
2001,1,SK,26A,n
2001,2,SK,26A,n
2002,1,SK,26A,n
2002,2,SK,26A,n
2003,1,SK,26A,n
2003,2,SK,26A,n
2004,1,SK,26A,n
2004,2,SK,26A,n
2005,1,SK,26A,n
2005,2,SK,26A,n
2006,1,SK,26A,n
2006,2,SK,26A,n
2007,1,SK,26A,n
2007,2,SK,26A,n
2008,1,SK,26A,n
2008,2,SK,26A,n
2009,1,SK,26A,n
2009,2,SK,26A,n
2010,1,SK,26A,n
2010,2,SK,26A,n
2011,1,SK,26A,n
2011,2,SK,26A,n
2012,1,SK,26A,n
2012,2,SK,26A,n
2013,1,SK,26A,n
2013,2,SK,26A,n
2014,1,SK,26A,n
2014,2,SK,26A,n
2015,1,SK,26A,n
2015,2,SK,26A,n
2016,1,SK,26A,n
1982,2,N,27A,n
1983,1,N,27A,n
1983,2,N,27A,n
1984,1,N,27A,n
1984,2,N,27A,n
1985,1,N,27A,n
1985,2,N,27A,n
1986,1,N,27A,n
1986,2,N,27A,n
1987,1,N,27A,n
1987,2,N,27A,n
1988,1,N,27A,n
1988,2,N,27A,n
1989,1,N,27A,n
1989,2,N,27A,n
1990,1,N,27A,n
1990,2,N,27A,n
1991,1,N,27A,n
1991,2,N,27A,n
1992,1,N,27A,n
1992,2,N,27A,n
1993,1,N,27A,n
1993,2,N,27A,n
1994,1,N,27A,n
1994,2,N,27A,n
1995,1,N,27A,n
1995,2,N,27A,n
1996,1,N,27A,n
1996,2,N,27A,n
1997,1,N,27A,n
1997,2,N,27A,n
1998,1,N,27A,n
1998,2,N,27A,n
1999,1,N,27A,n
1999,2,N,27A,n
2000,1,N,27A,n
2000,2,N,27A,n
2001,1,N,27A,n
2001,2,N,27A,n
2002,1,N,27A,n
2002,2,N,27A,n
2003,1,N,27A,n
2003,2,N,27A,n
2004,1,N,27A,n
2004,2,N,27A,n
2005,1,N,27A,n
2005,2,N,27A,n
2006,1,N,27A,n
2006,2,N,27A,n
2007,1,N,27A,n
2007,2,N,27A,n
2008,1,N,27A,n
2008,2,N,27A,n
2009,1,N,27A,n
2009,2,N,27A,n
2010,1,N,27A,n
2010,2,N,27A,n
2011,1,N,27A,n
2011,2,N,27A,n
2012,1,N,27A,n
2012,2,N,27A,n
2013,1,N,27A,n
2013,2,N,27A,n
1982,2,N,28A,n
1983,1,N,28A,n
1983,2,N,28A,n
1984,1,N,28A,n
1984,2,N,28A,n
1985,1,N,28A,n
1985,2,N,28A,n
1986,1,N,28A,n
1986,2,N,28A,n
1987,1,N,28A,n
1987,2,N,28A,n
1988,1,N,28A,n
1988,2,N,28A,n
