poolname;year;sample;pool;island;water_VIP;magna_VIP;pulex_VIP;longispina_VIP;water_DE;magna_DE;longispina_DE;pulex_DE
F-6;2009;1;6;F;y;0;0;1;y;0;1;1
F-6;2009;2;6;F;y;0;0;1;y;0;1;0
F-6;2010;1;6;F;y;0;0;1;y;0;1;0
F-6;2011;1;6;F;y;0;0;1;y;0;1;0
F-6;2011;2;6;F;y;0;0;1;y;0;0;0
F-6;2012;1;6;F;y;0;0;1;y;0;1;0
F-6;2012;2;6;F;y;0;0;1;y;0;1;0
F-7;2009;1;7;F;y;0;1;0;y;0;0;1
F-7;2009;2;7;F;y;0;0;1;y;0;1;0
F-7;2010;1;7;F;y;0;0;1;y;0;1;0
F-7;2011;1;7;F;y;0;0;0;y;0;1;1
F-7;2011;2;7;F;y;0;1;1;y;0;1;0
F-7;2012;1;7;F;y;0;0;0;y;0;0;0
F-8;2009;1;8;F;y;0;0;1;y;0;1;0
F-8;2009;2;8;F;y;0;0;1;y;0;1;0
F-8;2010;1;8;F;y;0;0;1;y;0;1;0
F-8;2011;1;8;F;y;0;0;1;y;0;1;0
F-8;2011;2;8;F;y;0;0;1;y;0;1;0
F-8;2012;1;8;F;y;0;0;1;y;0;1;0
F-8;2012;2;8;F;y;0;0;1;y;0;1;0
F-9;2009;1;9;F;y;0;0;0;y;0;0;0
F-9;2009;2;9;F;y;0;0;0;y;0;0;0
F-9;2010;1;9;F;y;0;0;0;y;0;0;0
F-9;2011;1;9;F;y;0;0;0;n;NA;NA;NA
F-9;2011;2;9;F;y;0;0;0;y;0;0;0
F-9;2012;1;9;F;y;0;0;0;y;0;0;0
F-9;2012;2;9;F;y;0;0;1;y;0;1;0
FO-10;2009;1;10;FO;y;0;0;0;y;0;0;0
FO-10;2009;2;10;FO;y;0;0;0;y;0;0;0
FO-10;2010;1;10;FO;y;0;0;0;y;0;0;0
FO-10;2011;1;10;FO;y;0;0;0;y;0;0;0
FO-10;2011;2;10;FO;y;0;0;0;y;0;0;0
FO-10;2012;1;10;FO;y;0;0;0;y;0;0;0
FO-10;2012;2;10;FO;y;0;0;0;y;0;0;0
FO-11;2009;1;11;FO;y;0;0;0;y;0;0;0
FO-11;2009;2;11;FO;y;0;0;0;y;0;0;0
FO-11;2010;1;11;FO;y;0;0;0;y;0;0;0
FO-11;2011;1;11;FO;y;0;0;0;y;0;0;0
FO-11;2011;2;11;FO;y;0;0;0;y;0;0;0
FO-11;2012;1;11;FO;y;0;0;0;y;0;0;0
FO-11;2012;2;11;FO;y;0;0;0;y;0;0;0
FO-13;2009;1;13;FO;y;0;0;0;y;0;0;0
FO-13;2009;2;13;FO;y;0;0;0;y;0;0;0
FO-13;2010;1;13;FO;y;0;0;0;y;0;0;0
