day,month,year,sample,poolname,island,pool,author,remark,holds_no_water
3,6,2017,1,G-37,G,37,DE,hnw,1
3,6,2017,1,G-6,G,6,DE,hnw,1
4,6,2013,1,G-60,G,60,CH,hnw,1
4,8,2013,2,G-60,G,60,DE,hnw,1
16,6,2014,1,G-60,G,60,CH,hnw,1
23,8,2014,2,G-60,G,60,DE,hnw,1
28,5,2015,1,G-60,G,60,DE,hnw,1
20,8,2015,2,G-60,G,60,DE,hnw,1
5,6,2016,1,G-60,G,60,CH,hnw,1
28,7,2016,2,G-60,G,60,DE,hnw,1
3,6,2017,1,G-60,G,60,DE,hnw,1
30,7,2017,2,G-60,G,60,DE,hnw,1
4,8,2013,2,G-92,G,92,DE,hnw,1
23,8,2014,2,G-92,G,92,DE,hnw,1
30,7,2009,2,LA-15,LA,15,DE,hnw,1
27,7,2012,2,LA-15,LA,15,DE,hnw,1
3,6,2017,1,LG-8,LG,8,DE,hnw,1
3,8,2017,2,LG-8,LG,8,DE,has water,
23,7,2009,2,M-15,M,15,DE,hnw,1
20,7,2011,2,M-15,M,15,DE,hnw,1
5,6,2013,1,M-15,M,15,CH,hnw,1
3,8,2013,2,M-15,M,15,DE,hnw,1
27,8,2014,2,M-15,M,15,DE,hnw,1
27,5,2015,1,M-15,M,15,DE,hnw,1
7,8,2015,2,M-15,M,15,VIP,has water,
31,7,2016,2,M-15,M,15,DE,has water,
20,7,2011,2,M-17,M,17,DE,hnw,1
1,8,2012,2,M-17,M,17,DE,hnw,1
5,6,2013,1,M-17,M,17,CH,hnw,1
23,7,2009,2,M-49,M,49,DE,hnw,1
20,7,2011,2,M-49,M,49,DE,hnw,1
1,8,2012,2,M-49,M,49,DE,hnw,1
5,6,2013,1,M-49,M,49,CH,hnw,1
3,8,2013,2,M-49,M,49,DP,hnw,1
24,7,2009,2,N-66,N,66,DE,hnw,1
27,5,2013,1,N-66,N,66,DE,hnw,1
6,8,2013,2,N-66,N,66,DE,hnw,1
20,7,2011,2,SK-2,SK,2,DE,hnw,1
5,8,2012,2,SK-2,SK,2,DE,hnw,1
7,6,2013,1,SK-2,SK,2,CH,hnw,1
7,8,2013,2,SK-2,SK,2,DE,hnw,1
17,8,2014,2,SK-2,SK,2,FBA,hnw,1
25,5,2015,1,SK-2,SK,2,DE,has water,
20,7,2011,2,SK-21,SK,21,DE,hnw,1
5,8,2012,2,SK-21,SK,21,DE,has water,
20,7,2011,2,SK-22,SK,22,DE,hnw,1
5,8,2012,2,SK-22,SK,22,DE,has water,
7,8,2013,2,SK-3,SK,3,DE,hnw,1
17,8,2014,2,SK-3,SK,3,FBA,hnw,1
25,5,2015,1,SK-3,SK,3,DE,hnw,1
19,8,2015,2,SK-3,SK,3,DE,has water,
29,7,2017,2,SK-3,SK,3,DE,has water,
6,6,2013,1,SK-51,SK,51,CH,hnw,1
7,8,2013,2,SK-51,SK,51,DE,hnw,1
